Nacionalidad,Dorsal,Nombre,ID del jugador,Entrenador,Especialidad,Bonificación por club de origen,Lesiones,Amonestaciones,En la lista de transferencias,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Fidelidad,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Fecha último partido,Rendimiento último partido,Demarcación último partido
España,,Carlos Taboada Soto,456804541,,,,,,1,17,34,1160,540,1,1,4,3,7,6,1,4,4,4,2,7,8,30-12-2020,3.5,DEL
Suiza,30,Sebastian Speidel,457029802,,Rápido,,,,,17,58,650,396,1,1,3,3,6,5,1,5,6,5,2,2,7,30-12-2020,2.5,MC
Bolivia,2,Casimiro Jáuregui,426805651,,Potente,,,,,31,29,2120,540,176,6,2,20,6,7,1,8,6,4,5,6,6,27-12-2020,4,DC
Colombia,16,Norberto Peña,427777432,,Potente,1,,,,30,29,6300,1150,189,5,3,20,7,7,1,3,9,6,6,7,6,30-12-2020,3.5,LI
Colombia,95,José Alfonso Guerrero,427777425,,,1,,,,31,20,380,290,189,2,3,20,5,5,1,4,6,3,6,3,6,31-10-2018,3,DEL
Suiza,,Achille Lev,439739663,1,Imprevisible,,,,,37,103,0,300,32,7,7,16,2,3,0,3,2,0,0,0,6,09-09-2020,0.5,LI
Colombia,1,Darío Fernando Caballero,427777417,,Rápido,1,,,,33,15,1260,610,189,4,2,20,5,6,6,2,2,1,1,0,5,30-12-2020,2.5,POR
Costa Rica,15,Abdulad Conejo,435765263,,,,,,,26,29,27590,7836,139,4,5,20,7,8,1,2,12,7,5,5,5,27-12-2020,6,ED
Suiza,24,Maurice Chaplain,420823350,,Imprevisible,,,,,31,59,47980,26820,32,8,2,16,7,6,1,16,4,2,4,2,5,27-12-2020,8.5,DC
Suiza,28,Mickaël Bourrée,428032686,,Cabeceador,,,2,,29,78,45550,18600,186,7,2,20,7,7,1,2,14,7,5,6,5,30-12-2020,5.5,EI
Colombia,96,Aníbal Moyano,427777424,,Potente,1,,,,33,2,130,280,189,3,1,20,5,5,1,5,6,4,4,1,5,08-01-2020,3.5,ED
Colombia,98,Gonzalo Albán,427777420,,,1,,,,30,16,890,360,189,3,6,20,6,6,1,7,6,4,5,2,5,02-12-2020,2.5,LI
Irlanda,5,Bosco Coyne,432091322,,,,,,,29,12,4350,840,159,6,6,20,6,7,1,8,7,3,3,6,4,23-12-2020,4.5,LI
Japón,8,僚 (Ryo) 川野 (Kawano),434502972,,Rápido,,,,,27,44,68490,28056,143,2,2,20,8,7,1,4,15,2,3,4,4,27-12-2020,7.5,MC
Rumanía,12,Fănică Teacu,433196899,,,,,,,28,104,3260,1620,159,6,2,20,6,7,7,3,7,1,1,1,4,20-12-2020,3,POR
Italia,19,Mauro Turina,448915978,,Imprevisible,,,,,20,6,4150,708,47,2,2,19,7,7,1,4,8,4,7,3,4,30-12-2020,5,MC
Irán,26,Farjad Amjadi,432094261,,,,,,,27,57,57800,17868,85,7,5,20,7,7,1,14,6,3,4,6,4,27-12-2020,8,DC
Colombia,29,Weibar Cerquera,438673853,,Potente,,,2,,25,77,40000,10570,113,2,4,20,7,8,1,2,13,3,3,5,4,30-12-2020,6.5,MC
Colombia,34,Daniel Otero,455416321,,Técnico,,,,,17,108,670,290,14,2,6,11,3,7,2,5,7,4,4,2,4,27-12-2020,3,MC
Chile,10,Oskar Aizpuru,427812596,,,,,1,,29,104,159690,77184,189,7,5,20,7,7,1,4,18,4,5,5,3,27-12-2020,9.5,MC
Alemania,14,Luca Kopetzky,427835263,,,,,1,,29,90,74340,39924,188,5,4,20,6,7,1,3,16,3,4,4,3,30-12-2020,8,MC
Colombia,17,Fabián Álvarez,446926492,,Potente,,,,,20,102,19710,3470,58,2,6,20,8,8,1,4,12,3,5,2,3,27-12-2020,6.5,MC
Estados Unidos,18,Tomás Ruiz,442669692,,,,,,,22,84,12940,1620,81,3,4,20,6,8,2,4,10,8,6,3,3,27-12-2020,5.5,EI
Argentina,23,Huberto Marquet,427791661,,,,,,,30,74,50140,37944,188,4,6,20,4,7,1,3,16,4,3,1,3,27-12-2020,6,MC
Suiza,27,Maximilian Gmünder,426697959,,,,,,,29,38,23150,14148,86,7,4,20,3,7,1,14,5,3,4,5,3,30-12-2020,5,DC
Austria,32,Alfred Vejdovszky,431124773,,,,,1,,27,69,20940,5220,111,6,2,20,7,7,1,5,5,6,5,11,3,27-12-2020,8,DEL
Colombia,33,Augusto Núñez,454554703,,Potente,,,,,18,21,2090,390,18,2,4,12,6,7,1,2,5,6,7,3,3,30-12-2020,3,MC
Alemania,35,Walter Brieselang,401033610,,,,,,,40,20,150,732,75,8,5,20,1,2,0,0,11,0,1,0,3,12-08-2020,5.5,MC
Grecia,13,Pakis Trachanoplagias,422917556,,Rápido,,,,,30,56,3170,852,176,6,1,20,6,7,1,8,7,4,3,3,2,30-12-2020,4.5,DC
Venezuela,92,Israel Arteaga,428808648,,,,,,,28,92,600,444,176,2,5,20,4,6,1,7,4,4,4,2,2,10-05-2020,2,MC
Alemania,3,Marc Benoit-Hutter,430743015,,Técnico,,,,,28,65,2460,612,158,4,2,20,7,7,1,8,6,4,4,4,1,30-12-2020,4.5,LD
España,9,Mauro Albelda,426590336,,Técnico,,,1,,30,38,2200,588,175,4,3,20,5,6,1,5,7,4,6,7,1,11-11-2020,4.5,DEL
Uzbekistán,11,Latif Hoshimov,431250005,,Potente,,,1,,27,76,21480,3636,109,6,4,20,8,7,1,4,6,3,8,11,1,27-12-2020,8,DEL
Italia,20,Paolo Prada,448909876,,,,,,,20,65,6390,780,47,2,4,19,6,8,1,5,9,3,7,4,1,30-12-2020,4.5,MC
Palestina,21,Sulaiman Alam Hamdan,427897703,,Potente,,,,,28,91,50110,22356,186,8,4,20,5,7,1,4,14,7,5,3,1,30-12-2020,5.5,ED
Colombia,22,Felipe Cucunubá,427777418,,,1,,,,39,3,10,260,189,7,1,20,2,3,3,1,0,0,0,0,1,09-09-2020,1.5,POR
Túnez,25,Karim Ati,399199147,,,,,,,37,105,8980,1776,16,15,3,12,5,4,13,2,1,0,0,0,0,27-12-2020,5,POR
