Nacionalidad,Dorsal,Nombre,ID del jugador,Entrenador,Especialidad,Bonificación por club de origen,Lesiones,Amonestaciones,En la lista de transferencias,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Fidelidad,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Fecha último partido,Rendimiento último partido,Demarcación último partido
Chile,10,Oskar Aizpuru,427812596,,,,,,,29,34,145100,77184,179,7,5,20,7,7,1,4,18,4,4,6,3,18-10-2020,8.5,MC
Alemania,14,Luca Kopetzky,427835263,,,,,,,29,20,60250,39924,178,5,4,20,5,7,1,3,16,3,4,4,3,21-10-2020,6.5,MC
Argentina,23,Huberto Marquet,427791661,,,,,,,30,4,59680,37944,178,4,6,20,7,7,1,3,16,4,3,2,3,21-10-2020,7,MC
Japón,8,僚 (Ryo) 川野 (Kawano),434502972,,Rápido,,,,,26,86,57600,22452,133,2,2,20,7,7,1,4,15,2,2,4,4,21-10-2020,7.5,MC
Bélgica,7,Watse Deschuymere,437261831,,,,,,,24,60,60600,21444,117,3,3,20,8,8,1,3,14,5,4,3,3,21-10-2020,7.5,MC
Palestina,21,Sulaiman Alam Hamdan,427897703,,Potente,,,,,28,21,44970,22356,176,8,4,20,6,7,1,4,14,7,4,3,1,18-10-2020,6,EI
Suiza,28,Mickaël Bourrée,428032686,,Cabeceador,,,1,,29,8,37790,18600,176,7,2,20,6,7,1,2,14,7,4,6,5,21-10-2020,5.5,EI
Colombia,29,Weibar Cerquera,438673853,,Potente,,,1,,25,7,32980,10570,103,2,4,20,7,8,1,2,13,3,3,5,4,21-10-2020,6.5,MC
Costa Rica,15,Abdulad Conejo,435765263,,,,,,,25,71,24540,5820,129,4,5,20,7,8,1,2,12,7,4,5,5,18-10-2020,5.5,ED
Alemania,35,Walter Brieselang,401033610,,,,,,,39,62,640,1404,65,8,5,20,4,2,0,0,12,0,2,0,3,12-08-2020,5.5,MC
Colombia,17,Fabián Álvarez,446926492,,Potente,,,,,20,32,12720,3470,48,2,6,20,7,8,1,4,11,3,4,2,3,21-10-2020,6,MC
Colombia,16,Norberto Peña,427777432,,Potente,1,,,,29,71,5760,1060,179,5,3,20,5,7,1,3,9,6,6,7,6,14-10-2020,4.5,DEL
Estados Unidos,30,Tomás Ruiz,442669692,,,,,,,22,14,8980,1620,71,3,4,20,6,8,2,4,9,8,5,3,3,21-10-2020,5,ED
Italia,20,Paolo Prada,448909876,,,,,,,19,107,4070,468,37,2,4,17,6,7,1,5,8,3,7,4,1,07-10-2020,5,MC
Irlanda,5,Bosco Coyne,432091322,,,,,,,28,54,4710,876,149,6,6,20,6,7,1,8,7,3,3,6,4,21-10-2020,4.5,LD
España,9,Mauro Albelda,426590336,,Técnico,,,1,,29,80,2690,600,165,4,3,20,6,6,1,5,7,4,5,7,1,07-10-2020,5,DEL
Grecia,13,Pakis Trachanoplagias,422917556,,Rápido,,,,,29,98,3120,900,166,6,1,20,5,6,1,8,7,4,3,3,2,04-10-2020,3.5,DC
Italia,19,Mauro Turina,448915978,,Imprevisible,,,,,19,48,2280,468,37,2,2,17,6,7,1,4,7,4,7,3,4,07-10-2020,4.5,MC
Bolivia,2,Casimiro Jáuregui,426805651,,Potente,,,,,30,71,2710,564,166,6,2,20,7,6,1,8,6,4,5,6,6,21-10-2020,4,LI
Alemania,3,Marc Benoit-Hutter,430743015,,Técnico,,,,,27,107,1490,612,148,4,2,20,3,6,1,8,6,4,4,4,1,07-10-2020,3,DC
Uzbekistán,11,Latif Hoshimov,431250005,,Potente,,,1,,27,6,17260,3636,99,5,4,20,6,7,1,4,6,3,8,11,1,21-10-2020,6.5,DEL
Rumanía,12,Fănică Teacu,433196899,,,,,,,28,34,4010,1620,149,5,2,20,8,7,7,3,6,1,1,1,4,21-10-2020,4,POR
Colombia,34,Daniel Otero,455416321,,Técnico,,,,,17,38,360,290,4,2,6,6,5,5,2,5,6,4,3,2,4,07-10-2020,2.5,MC
Colombia,95,José Alfonso Guerrero,427777425,,,1,,,,30,62,500,310,179,2,3,20,5,5,1,4,6,3,6,3,6,31-10-2018,3,DEL
Colombia,96,Aníbal Moyano,427777424,,Potente,1,,,,32,44,100,290,179,3,1,20,2,5,1,5,6,4,4,1,5,08-01-2020,3.5,ED
Irán,26,Farjad Amjadi,432094261,,,,,,,26,99,54520,17868,75,7,5,20,7,7,1,14,5,3,4,6,4,18-10-2020,6.5,LI
Suiza,27,Maximilian Gmünder,426697959,,,,,,,28,80,41130,15684,76,7,4,20,8,7,1,14,5,3,4,5,3,21-10-2020,7.5,DC
Austria,32,Alfred Vejdovszky,431124773,,,,,,,26,111,18320,5220,101,6,2,20,6,7,1,5,5,6,4,11,3,18-10-2020,7,DEL
Colombia,98,Gonzalo Albán,427777420,,,1,,,,29,58,490,380,179,3,6,20,2,6,1,7,5,4,5,2,5,10-05-2020,4,DC
Suiza,24,Maurice Chaplain,420823350,,Imprevisible,,,,,30,101,50580,30840,22,8,2,13,5,6,1,16,4,2,4,2,5,21-10-2020,7,DC
Colombia,33,Augusto Núñez,454554703,,Potente,,,,,17,63,1120,310,8,2,4,9,5,6,1,2,4,6,7,3,3,07-10-2020,2.5,MC
Venezuela,92,Israel Arteaga,428808648,,,,,,,28,22,640,444,166,2,5,20,4,6,1,7,4,4,4,2,2,10-05-2020,2,MC
Suiza,,Achille Lev,439739663,1,Imprevisible,,,,,37,33,0,300,22,7,7,13,5,3,0,4,3,1,0,0,6,09-09-2020,0.5,LI
Colombia,1,Darío Fernando Caballero,427777417,,Rápido,1,,,,32,57,1430,690,179,4,2,20,4,5,6,2,2,1,1,1,5,26-08-2020,1.5,POR
Colombia,22,Felipe Cucunubá,427777418,,,1,,,,38,45,40,280,179,7,1,20,3,3,4,2,1,0,0,0,1,09-09-2020,1.5,POR
Túnez,25,Karim Ati,399199147,,,,,,,37,35,7680,1776,6,15,3,7,3,4,13,3,1,0,0,0,0,18-10-2020,4.5,POR
